id,question_stem,choices,answerKey
8-343,"A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is to","{'text': array(['make more phone calls', 'quit eating lunch out',
       'buy less with monopoly money', 'have lunch with friends'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
1129,There is most likely going to be fog around:,"{'text': array(['a marsh', 'a tundra', 'the plains', 'a desert'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
880,Predators eat,"{'text': array(['lions', 'humans', 'bunnies', 'grass'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-999,"Oak tree seeds are planted and a sidewalk is paved right next to that spot, until eventually, the tree is tall and the roots must extend past the sidewalk, which means","{'text': array(['roots may be split', 'roots may begin to die',
       'parts may break the concrete', 'roots may fall apart'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
8-464,An electric car runs on electricity via,"{'text': array(['gasoline', 'a power station', 'electrical conductors', 'fuel'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-794,As the rain forest is deforested the atmosphere will increase with,"{'text': array(['oxygen', 'nitrogen', 'carbon', 'rain'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-1163,an electric car contains a motor that runs on,"{'text': array(['gas', 'hydrogen', 'ions', 'plutonium'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-322,The middle of the day usually involves the bright star nearest to the earth to be straight overhead why?,"{'text': array(['moons gravity', 'human planet rotation', 'global warming',
       'moon rotation'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-1140,The summer solstice in the northern hemisphere is four months before,"{'text': array(['May', 'July', 'April', 'October'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
7-903,The main component in dirt is,"{'text': array(['microorganisms', 'broken stones', 'pollution', 'bacteria'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-511,It's easier for human's to survive in:,"{'text': array(['a cave', 'the ocean.', 'a town', 'alone'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-937,A cactus stem is used to store,"{'text': array(['fruit', 'liquid', 'food', 'spines'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
8-201,A red-tailed hawk is searching for prey. It is most likely to swoop down on,"{'text': array(['an eagle', 'a cow', 'a gecko', 'a deer'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
1618,The chance of wildfires is increased by,"{'text': array(['parched foliage', 'torrential rain', 'lush foliage',
       'careful fire maintenance'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
758,A positive effect of burning biofuel is,"{'text': array(['shortage of crops for the food supply',
       'an increase in air pollution', 'powering the lights in a home',
       'deforestation in the amazon to make room for crops'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
7-414,"As gasoline costs rise, alternative fuels are being used, which means that","{'text': array(['wind power will be expensive', 'gas costs will rise',
       'oil costs will be maintained', 'gasoline will be needed less'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
9-675,"A person wants to be able to have more natural power in their home. They choose to cease using a traditional electric company to source this electricity, and so decide to install","{'text': array(['sun grafts', 'sunlight shields', 'panels collecting sunlight',
       'solar bees'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
9-163,A Mola Mola might live where?,"{'text': array(['Lake Michigan', 'The Mississippi River', 'Bay of Bengal',
       'Lake Eerie'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C
1032,Which requires energy to move?,"{'text': array(['weasel', 'willow', 'mango', 'poison ivy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
889,An animal that only eats plants is a,"{'text': array(['rat', 'moth', 'chimpanzee', 'pig'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
1160,There was a lot more water vapor in the air when we went on a trip to,"{'text': array(['Hanoi', 'Athens', 'Baghdad', 'Phoenix'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
9-298,An example of conservation is avoiding the use of,"{'text': array(['gasoline', 'air', 'snow', 'clothes'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
1189,What can feathers on Spheniscidae be used for?,"{'text': array(['keeping warm', 'flying', 'sleeping', 'eating'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A
8-395,Overpopulation can cause,"{'text': array(['More fresh water for people to drink',
       'Lower Life Expectancy in Countries', 'More food for more people',
       'More space for places to people to live'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-238,Shining a light through a diamond can,"{'text': array(['make a lot of bright lights shine',
       'summon a brilliant wave of color', 'heat up a room',
       'make a lot of money'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
7-372,"If you were attacked by a shark and had to punch it sharply where it pulls in air from, you'd use your hand to make contact with","{'text': array(['its snout', 'its gills', 'its nose', 'its belly'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B
8-35,which of these would stop a car quicker?,"{'text': array(['a wheel with wet brake pads', 'a wheel without brake pads',
       'a wheel with worn brake pads', 'a wheel with dry brake pads'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D
