id,question_stem,choices,answerKey,pashto_question,pashto_choices
8-343,"A person wants to start saving money so that they can afford a nice vacation at the end of the year. After looking over their budget and expenses, they decide the best way to save money is to","{'text': array(['make more phone calls', 'quit eating lunch out',
       'buy less with monopoly money', 'have lunch with friends'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,یو کس غواړي چې پیسې جمع کړي ترڅو د کال په پای کې یوه ښکلې رخصتي واخلي. د خپل بودیجې او لګښتونو په کتلو سره، دوی پریکړه کوي چې د پیسو جمع کولو غوره لاره دا ده چې,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""نور ټلیفونونه وکړي"", ""د غرمې ډوډۍ بهر نه وخوري"", ""د مونوپولي پیسو سره لږ څه واخلي"", ""د ملګرو سره غرمې ته لاړ شي""]}"
1129,There is most likely going to be fog around:,"{'text': array(['a marsh', 'a tundra', 'the plains', 'a desert'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د احتمال سره به د:,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""یو باتلاق"", ""یو تنډرا"", ""د میدانونو"", ""یو صحرا""]}"
880,Predators eat,"{'text': array(['lions', 'humans', 'bunnies', 'grass'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,ښکارچیان څه خوري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""شیران"", ""انسانان"", ""خرگوشان"", ""چمن""]}"
7-999,"Oak tree seeds are planted and a sidewalk is paved right next to that spot, until eventually, the tree is tall and the roots must extend past the sidewalk, which means","{'text': array(['roots may be split', 'roots may begin to die',
       'parts may break the concrete', 'roots may fall apart'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د بلوط ونې تخمونه کښینول کیږي او د دې ځای سره نږدې یوه پیاده رو جوړیږي، تر دې چې بالاخره، ونه لوړه کیږي او ریښې باید د پیاده رو نه تیرې شي، چې دا معنی لري,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ریښې ممکن ویشل شي"", ""ریښې ممکن مړ شي"", ""برخې ممکن کانکریټ مات کړي"", ""ریښې ممکن جلا شي""]}"
8-464,An electric car runs on electricity via,"{'text': array(['gasoline', 'a power station', 'electrical conductors', 'fuel'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,یو برقي موټر د برېښنا په واسطه چلول کیږي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د تیلو"", ""د بریښنا سټېشن"", ""برقي کنډکټرونه"", ""سونګ""]}"
9-794,As the rain forest is deforested the atmosphere will increase with,"{'text': array(['oxygen', 'nitrogen', 'carbon', 'rain'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,لکه څنګه چې باراني ځنګل له منځه ځي، فضا به د:,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""اکسیجن"", ""نایټروجن"", ""کاربن"", ""باران""]}"
9-1163,an electric car contains a motor that runs on,"{'text': array(['gas', 'hydrogen', 'ions', 'plutonium'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,یو برقي موټر یوه موټر لري چې د:,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""تیل"", ""هایډروجن"", ""آیونونه"", ""پلوټونیم""]}"
9-322,The middle of the day usually involves the bright star nearest to the earth to be straight overhead why?,"{'text': array(['moons gravity', 'human planet rotation', 'global warming',
       'moon rotation'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,د ورځې په منځ کې عموماً د ځمکې تر ټولو نږدې روښانه ستوری د سر په سر وي، ولې؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د سپوږمۍ جاذبه"", ""د انسان سیارې دوران"", ""نړیوال تودوخه"", ""د سپوږمۍ دوران""]}"
7-1140,The summer solstice in the northern hemisphere is four months before,"{'text': array(['May', 'July', 'April', 'October'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,د شمالي نیمه کره د اوړي لمریز ورځ څلور میاشتې مخکې دی,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""می"", ""جولای"", ""اپریل"", ""اکتوبر""]}"
7-903,The main component in dirt is,"{'text': array(['microorganisms', 'broken stones', 'pollution', 'bacteria'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,په خاوره کې اصلي جز څه دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""میکرو ارګانیزمونه"", ""شکسته ډبرې"", ""ککړتیا"", ""بکتریا""]}"
7-511,It's easier for human's to survive in:,"{'text': array(['a cave', 'the ocean.', 'a town', 'alone'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د انسانانو لپاره د بقاء لپاره کوم ځای آسانه دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""په یوه غار کې"", ""په سمندر کې"", ""په یوه ښار کې"", ""یوازی""]}"
9-937,A cactus stem is used to store,"{'text': array(['fruit', 'liquid', 'food', 'spines'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,د ککتوس د ساقې کارول د څه لپاره دي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ميوه"", ""مایع"", ""خوراک"", ""تیرونه""]}"
8-201,A red-tailed hawk is searching for prey. It is most likely to swoop down on,"{'text': array(['an eagle', 'a cow', 'a gecko', 'a deer'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,یو سره د پښې لرونکی باز د ښکار په لټه کې دی. دا احتمال لري چې پر کوم شي ښکته شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""پر عقاب"", ""پر غوا"", ""پر جیکو"", ""پر غزال""]}"
1618,The chance of wildfires is increased by,"{'text': array(['parched foliage', 'torrential rain', 'lush foliage',
       'careful fire maintenance'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,د وحشي اورونو خطر د څه له امله زیاتېږي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""خشک پاڼې"", ""شدید باران"", ""شنه پاڼې"", ""د اور د ساتنې احتیاط""]}"
758,A positive effect of burning biofuel is,"{'text': array(['shortage of crops for the food supply',
       'an increase in air pollution', 'powering the lights in a home',
       'deforestation in the amazon to make room for crops'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,د بیو فیول سوځولو یو مثبت اثر څه دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د خوراکي توکو لپاره د محصولاتو کمښت"", ""د هوا ککړتیا زیاتوالی"", ""د کور څراغونو ته بریښنا ورکول"", ""په امازون کې د کرنې لپاره ځنګلونه له منځه وړل""]}"
7-414,"As gasoline costs rise, alternative fuels are being used, which means that","{'text': array(['wind power will be expensive', 'gas costs will rise',
       'oil costs will be maintained', 'gasoline will be needed less'],
      dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",D,کله چې د ګاز قیمتونه لوړیږي، بدیل سونګونه کارول کیږي، چې دا معنی لري چې,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د باد انرژي به ګرانه وي"", ""د ګاز قیمتونه به لوړیږي"", ""د تیلو قیمتونه به ثابت پاتې شي"", ""د ګاز اړتیا به کمه شي""]}"
9-675,"A person wants to be able to have more natural power in their home. They choose to cease using a traditional electric company to source this electricity, and so decide to install","{'text': array(['sun grafts', 'sunlight shields', 'panels collecting sunlight',
       'solar bees'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,یو شخص غواړي چې په خپل کور کې نور طبیعي ځواک ولري. دوی پریکړه کوي چې د بریښنا د دودیز شرکت کارول بند کړي، نو دوی پریکړه کوي چې نصب کړي,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د لمر ګرافونه"", ""د لمر د خوندیتوب شیلډونه"", ""د لمر راټولولو پینلونه"", ""لمري زنبوران""]}"
9-163,A Mola Mola might live where?,"{'text': array(['Lake Michigan', 'The Mississippi River', 'Bay of Bengal',
       'Lake Eerie'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",C,یو مولا مولا چیرته ژوند کولی شي؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""د میشیګان جهیل"", ""د میسیسیپي سیند"", ""د بنګال خلیج"", ""د ایری جهیل""]}"
1032,Which requires energy to move?,"{'text': array(['weasel', 'willow', 'mango', 'poison ivy'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",A,کوم شی د حرکت لپاره انرژي ته اړتیا لري؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""ویسل"", ""ویلو"", ""مڼې"", ""زهرجن زیتون""]}"
889,An animal that only eats plants is a,"{'text': array(['rat', 'moth', 'chimpanzee', 'pig'], dtype=object), 'label': array(['A', 'B', 'C', 'D'], dtype=object)}",B,یو حیوان چې یوازې نباتات خوري، څه دی؟,"{""label"": [""A"", ""B"", ""C"", ""D""], ""text"": [""موش"", ""مکۍ"", ""چمپانزي"", ""خوک""]}"
