id,question,question_concept,choices,answerKey
1afa02df02c908a558b4036e80242fac,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?",revolving door,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'library', 'department store', 'mall', 'new york'],
      dtype=object)}",A
a7ab086045575bb497933726e4e6ad28,What do people aim to do at work?,people,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['complete job', 'learn from each other', 'kill animals',
       'wear hats', 'talk to each other'], dtype=object)}",A
b8c0a4703079cf661d7261a60a1bcbff,Where would you find magazines along side many other printed works?,magazines,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['doctor', 'bookstore', 'market', 'train station', 'mortuary'],
      dtype=object)}",B
e68fb2448fd74e402aae9982aa76e527,Where are  you likely to find a hamburger?,hamburger,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fast food restaurant', 'pizza', 'ground up dead cows', 'mouth',
       'cow carcus'], dtype=object)}",A
2435de612dd69f2012b9e40d6af4ce38,James was looking for a good place to buy farmland.  Where might he look?,farmland,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['midwest', 'countryside', 'estate', 'farming areas', 'illinois'],
      dtype=object)}",A
a4892551cb4beb279653ae52d0de4c89,What island country is ferret popular?,ferret,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'north carolina', 'great britain', 'hutch', 'outdoors'],
      dtype=object)}",C
118a9093a30695622363455e4d911866,In what Spanish speaking North American country can you get a great cup of coffee?,cup of coffee,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""mildred's coffee shop"", 'mexico', 'diner', 'kitchen', 'canteen'],
      dtype=object)}",B
05ea49b82e8ec519e82d6633936ab8bf,What do animals do when an enemy is approaching?,animals,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel pleasure', 'procreate', 'pass water', 'listen to each other',
       'sing'], dtype=object)}",D
c0c07ce781653b2a2c01871ba2bcba93,Reading newspaper one of many ways to practice your what?,reading newspaper,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['literacy', 'knowing how to read', 'money', 'buying', 'money bank'],
      dtype=object)}",A
1d24f406b6828492040b405d3f35119c,What do people typically do while playing guitar?,playing guitar,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cry', 'hear sounds', 'singing', 'arthritis', 'making music'],
      dtype=object)}",C
