id,question,question_concept,choices,answerKey,pashto_question,pashto_choices
1afa02df02c908a558b4036e80242fac,"A revolving door is convenient for two direction travel, but it also serves as a security measure at a what?",revolving door,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bank', 'library', 'department store', 'mall', 'new york'],
      dtype=object)}",A,څرخېدونکې  دروازه د دوه اړخیز تګ راتګ لپاره ښه وي خو له دغه د امنیت کار هم اخیستل کېږي، په کوم ځای کښې؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""بانک"", ""کتابتون"", ""د څانګې پلورنځی"", ""مال"", ""نیویارک""]}"
a7ab086045575bb497933726e4e6ad28,What do people aim to do at work?,people,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['complete job', 'learn from each other', 'kill animals',
       'wear hats', 'talk to each other'], dtype=object)}",A,خلک په کار کولو کښې څه هدف لري؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""کار بشپړول"", ""یو له بل څخه زده کړه"", ""حیوانات وژنه"", ""توپکونه اغوستل"", ""یو له بل سره خبرې کول""]}"
b8c0a4703079cf661d7261a60a1bcbff,Where would you find magazines along side many other printed works?,magazines,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['doctor', 'bookstore', 'market', 'train station', 'mortuary'],
      dtype=object)}",B,تاسو به مجلې نور د ګڼ چهاپ اثارو در څنګ چرته در لاسَ کوئ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""ډاکټر"", ""کتاب پلورنځی"", ""بازار"", ""ریل ګاډي سټېشن"", ""مړینې خونه""]}"
e68fb2448fd74e402aae9982aa76e527,Where are  you likely to find a hamburger?,hamburger,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['fast food restaurant', 'pizza', 'ground up dead cows', 'mouth',
       'cow carcus'], dtype=object)}",A,تاسو به په ممکنه ډول همبرګر چرته لټوئ؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""فاسټ فوډ رستوران"", ""پیزا"", ""مړه شوې غواګانې"", ""خوله"", ""غوا""]}"
2435de612dd69f2012b9e40d6af4ce38,James was looking for a good place to buy farmland.  Where might he look?,farmland,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['midwest', 'countryside', 'estate', 'farming areas', 'illinois'],
      dtype=object)}",A,جیمز د کرنیز فارم لپاره ښه ځای لټوي،  هغه به یه چرته ګوري؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""منځنۍ لویدیځ"", ""کلیوالي سیمه"", ""جایداد"", ""کرنیزې سیمې"", ""ایلی نوئس""]}"
a4892551cb4beb279653ae52d0de4c89,What island country is ferret popular?,ferret,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'north carolina', 'great britain', 'hutch', 'outdoors'],
      dtype=object)}",C,کوم ایزلېنډ هیواد په نولی مشهوره ده؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""خپل کور"", ""شمالي کارولینا"", ""لوی بریتانیا"", ""هچ"", ""بهر""]}"
118a9093a30695622363455e4d911866,In what Spanish speaking North American country can you get a great cup of coffee?,cup of coffee,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array([""mildred's coffee shop"", 'mexico', 'diner', 'kitchen', 'canteen'],
      dtype=object)}",B,په کوم هسپانوي ژبي ویونکي هیواد کښې ښه کافي موندل کېدائ شي، کوم چې په شمالي امریکا کښې دئ؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""میلدریډ د قهوې پلورنځی"", ""مکسیکو"", ""ډاینر"", ""پخلنځی"", ""کینټین""]}"
05ea49b82e8ec519e82d6633936ab8bf,What do animals do when an enemy is approaching?,animals,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['feel pleasure', 'procreate', 'pass water', 'listen to each other',
       'sing'], dtype=object)}",D,ځناور څه کوي چې یو دښمن دوی وڅاري؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""خوشحالي احساسول"", ""تولید"", ""اوښکې تویول"", ""یو له بل سره غوږ نیول"", ""غږول""]}"
c0c07ce781653b2a2c01871ba2bcba93,Reading newspaper one of many ways to practice your what?,reading newspaper,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['literacy', 'knowing how to read', 'money', 'buying', 'money bank'],
      dtype=object)}",A,ورځپاڼې وئیل په ډېرو حوالو د تاسو د څه تمرین وي؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""لوستلو وړتیا"", ""لوستل زده کول"", ""پیسې"", ""پیرودل"", ""د پیسو بانک""]}"
1d24f406b6828492040b405d3f35119c,What do people typically do while playing guitar?,playing guitar,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cry', 'hear sounds', 'singing', 'arthritis', 'making music'],
      dtype=object)}",C,په ځانګړې توګه خلک څه کوي چي ګيټار ږغوي؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""ژړل"", ""غږونه اوریدل"", ""غږول"", ""آرتریت"", ""موسیقي جوړول""]}"
57f92025d860e32c4e780c0d51c1c20c,What would vinyl be an odd thing to replace?,vinyl,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['pants', 'record albums', 'record store', 'cheese', 'wallpaper'],
      dtype=object)}",E,وینیل بدلول عجیبه څيز ولي ښکاري؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""پتلون"", ""ریکارډ البمونه"", ""ریکارډ پلورنځی"", ""پنیر"", ""دیوال پوښ""]}"
81eb4b2ee66edd8bc91ee944697c4e9f,"If you want harmony, what is something you should try to do with the world?",something you,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['take time', 'make noise', 'make war', 'make peace', 'make haste'],
      dtype=object)}",D,که تاسو همږغي غواړئ هغه به کوم څيز وي چې تاسو یه د نړۍ سره د کولو هڅه وکړئ؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""وخت واخلئ"", ""غوغا وکړئ"", ""جګړه وکړئ"", ""سوله وکړئ"", ""تندۍ وکړئ""]}"
d807e7ae60976324920c8d29eb42dad6,Where does a heifer's master live?,heifer,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['farm house', 'barnyard', 'stockyard', 'slaughter house',
       'eat cake'], dtype=object)}",A,ګوالڼ چرته اوسېږي؟ د سخوندرې مالک چرته اوسېږي؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""کرنیز کور"", ""ګودام"", ""مالدارۍ"", ""ذبح خانه"", ""کیک وخورئ""]}"
7ea9f721ffc662918bb0c0937a487f04,Aside from water and nourishment what does your dog need?,dog,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['bone', 'charm', 'petted', 'lots of attention', 'walked'],
      dtype=object)}",D,له اوبو او غذا پرته، ستاسو سپی بل څه ته اړتیا لري؟ ,"{""label"": [""A"", ""B"", ""C"", ""D"", ""E""], ""text"": [""هډه"", ""جاذبه"", ""پام"", ""ډیر پام"", ""مزل""]}"
